shapeid,x,y,Path
150,-0.696807027,5.310695171,34161
150,-0.697081983,5.310695171,34162
150,-0.697081983,5.310417175,34163
150,-0.697359979,5.310417175,34164
150,-0.697359979,5.310139179,34165
150,-0.697638988,5.310139179,34166
150,-0.697638988,5.309861183,34167
150,-0.697916985,5.309861183,34168
150,-0.697916985,5.309583187,34169
150,-0.698472977,5.309583187,34170
150,-0.698472977,5.309305191,34171
150,-0.699582994,5.309305191,34172
150,-0.699582994,5.309027195,34173
150,-0.700138986,5.309027195,34174
150,-0.700138986,5.308751106,34175
150,-0.700416982,5.308751106,34176
150,-0.700416982,5.30847311,34177
150,-0.701804996,5.30847311,34178
150,-0.701804996,5.308195114,34179
150,-0.702638984,5.308195114,34180
150,-0.702638984,5.307917118,34181
150,-0.70291698,5.307917118,34182
150,-0.70291698,5.307639122,34183
150,-0.703472972,5.307639122,34184
150,-0.703472972,5.307361126,34185
150,-0.704026997,5.307361126,34186
150,-0.704026997,5.30708313,34187
150,-0.704304993,5.30708313,34188
150,-0.704304993,5.306805134,34189
150,-0.704860985,5.306805134,34190
150,-0.704860985,5.306527138,34191
150,-0.705694973,5.306527138,34192
150,-0.705694973,5.306251049,34193
150,-0.706526995,5.306251049,34194
150,-0.706526995,5.305973053,34195
150,-0.707638979,5.305973053,34196
150,-0.707638979,5.305695057,34197
150,-0.708194971,5.305695057,34198
150,-0.708194971,5.305417061,34199
150,-0.709861994,5.305417061,34200
150,-0.709861994,5.305139065,34201
150,-0.711528003,5.305139065,34202
150,-0.711528003,5.304860115,34203
150,-0.712083995,5.304860115,34204
150,-0.712083995,5.304582119,34205
150,-0.712639987,5.304582119,34206
150,-0.712639987,5.304306984,34207
150,-0.713472009,5.304306984,34208
150,-0.713472009,5.304028988,34209
150,-0.714028001,5.304028988,34210
150,-0.714028001,5.303750992,34211
150,-0.714583993,5.303750992,34212
150,-0.714583993,5.303472042,34213
150,-0.71569401,5.303472042,34214
150,-0.71569401,5.303194046,34215
150,-0.716805995,5.303194046,34216
150,-0.716805995,5.30291605,34217
150,-0.717361987,5.30291605,34218
150,-0.717361987,5.302638054,34219
150,-0.718194008,5.302638054,34220
150,-0.718194008,5.302360058,34221
150,-0.71875,5.302360058,34222
150,-0.71875,5.302084923,34223
150,-0.719583988,5.302084923,34224
150,-0.719583988,5.301805973,34225
150,-0.720416009,5.301805973,34226
150,-0.720416009,5.301527977,34227
150,-0.721249998,5.301527977,34228
150,-0.721249998,5.301249981,34229
150,-0.722084999,5.301249981,34230
150,-0.722084999,5.300971985,34231
150,-0.722360015,5.300971985,34232
150,-0.722360015,5.300693989,34233
150,-0.722916007,5.300693989,34234
150,-0.722916007,5.300415993,34235
150,-0.723194003,5.300415993,34236
150,-0.723194003,5.300137997,34237
150,-0.723473012,5.300137997,34238
150,-0.723473012,5.299860001,34239
150,-0.724029005,5.299860001,34240
150,-0.724029005,5.299583912,34241
150,-0.724582016,5.299583912,34242
150,-0.724582016,5.299305916,34243
150,-0.725139022,5.299305916,34244
150,-0.725139022,5.29902792,34245
150,-0.72597301,5.29902792,34246
150,-0.72597301,5.298749924,34247
150,-0.726251006,5.298749924,34248
150,-0.726251006,5.298471928,34249
150,-0.726526976,5.298471928,34250
150,-0.726526976,5.298193932,34251
150,-0.726804972,5.298193932,34252
150,-0.726804972,5.297915936,34253
150,-0.727083027,5.297915936,34254
150,-0.727083027,5.297637939,34255
150,-0.727361023,5.297637939,34256
150,-0.727361023,5.297361851,34257
150,-0.727639019,5.297359943,34258
150,-0.727639019,5.297083855,34259
150,-0.727917016,5.297083855,34260
150,-0.727917016,5.296805859,34261
150,-0.728195012,5.296805859,34262
150,-0.728195012,5.296527863,34263
150,-0.728473008,5.296527863,34264
150,-0.728473008,5.296249866,34265
150,-0.728751004,5.296249866,34266
150,-0.728751004,5.29597187,34267
150,-0.729026973,5.29597187,34268
150,-0.729029,5.295693874,34269
150,-0.729305029,5.295693874,34270
150,-0.729305029,5.295415878,34271
150,-0.729583025,5.295415878,34272
150,-0.729583025,5.295137882,34273
150,-0.730139017,5.295137882,34274
150,-0.730139017,5.294861794,34275
150,-0.730417013,5.294861794,34276
150,-0.730417013,5.294583797,34277
150,-0.730695009,5.294583797,34278
150,-0.730695009,5.294305801,34279
150,-0.730973005,5.294305801,34280
150,-0.730973005,5.294027805,34281
150,-0.731248975,5.294027805,34282
150,-0.731248975,5.293471813,34283
150,-0.731526971,5.293471813,34284
150,-0.741130806,5.301696616,34285
150,-0.750410704,5.313118029,34286
150,-0.752552219,5.321684089,34287
150,-0.745413836,5.331677825,34288
150,-0.731850908,5.344526914,34289
150,-0.71828798,5.348809944,34290
150,-0.706152729,5.355948327,34291
150,-0.691162125,5.362372872,34292
150,-0.674743844,5.370938931,34293
150,-0.665463946,5.370938931,34294
150,-0.65975324,5.369511255,34295
150,-0.656897887,5.366655902,34296
150,-0.652614857,5.35880368,34297
150,-0.645476474,5.345954591,34298
150,-0.645416975,5.332917213,34299
151,-0.786928747,5.417089781,34300
151,-0.794906625,5.390450512,34301
151,-0.798713762,5.367607686,34302
151,-0.800617331,5.334295232,34303
151,-0.803472684,5.296223856,34304
151,-0.797761978,5.259104264,34305
151,-0.803155233,5.220416069,34306
151,-0.803193986,5.220416069,34307
151,-0.803193986,5.220138073,34308
151,-0.804859996,5.220138073,34309
151,-0.804859996,5.219860077,34310
151,-0.805139005,5.219860077,34311
151,-0.805139005,5.217727184,34312
151,-0.805139005,5.217638016,34313
151,-0.805417001,5.217638016,34314
151,-0.805417001,5.21736002,34315
151,-0.805694997,5.21736002,34316
151,-0.805694997,5.217083931,34317
151,-0.805972993,5.217083931,34318
151,-0.805972993,5.216805935,34319
151,-0.806528986,5.216805935,34320
151,-0.806528986,5.216527939,34321
151,-0.806805015,5.216527939,34322
151,-0.806805015,5.216249943,34323
151,-0.807083011,5.216249943,34324
151,-0.807083011,5.215971947,34325
151,-0.807916999,5.215971947,34326
151,-0.807916999,5.215693951,34327
151,-0.810139,5.215693951,34328
151,-0.810139,5.215415955,34329
151,-0.810972989,5.215415955,34330
151,-0.810972989,5.215139866,34331
151,-0.811249018,5.215139866,34332
151,-0.811250985,5.21486187,34333
151,-0.811527014,5.21486187,34334
151,-0.811527014,5.214583874,34335
151,-0.812083006,5.214583874,34336
151,-0.812083006,5.214305878,34337
151,-0.812638998,5.214305878,34338
151,-0.812638998,5.214027882,34339
151,-0.81319499,5.214027882,34340
151,-0.81319499,5.213749886,34341
151,-0.814027011,5.213749886,34342
151,-0.814027011,5.21347189,34343
151,-0.814583004,5.21347189,34344
151,-0.814583004,5.213193893,34345
151,-0.815971017,5.213193893,34346
151,-0.815971017,5.212917805,34347
151,-0.817640007,5.212917805,34348
151,-0.817640007,5.212639809,34349
151,-0.819306016,5.212639809,34350
151,-0.819306016,5.212361813,34351
151,-0.820140004,5.212361813,34352
151,-0.820140004,5.212083817,34353
151,-0.820418,5.212083817,34354
151,-0.820418,5.212361813,34355
151,-0.821250021,5.212361813,34356
151,-0.821250021,5.212083817,34357
151,-0.822915971,5.212083817,34358
151,-0.822915971,5.21180582,34359
151,-0.823194027,5.21180582,34360
151,-0.823194027,5.211527824,34361
151,-0.826250017,5.211527824,34362
151,-0.826250017,5.211249828,34363
151,-0.827362001,5.211249828,34364
151,-0.827362001,5.210970879,34365
151,-0.829859972,5.210970879,34366
151,-0.829859972,5.210692883,34367
151,-0.831251025,5.210692883,34368
151,-0.831251025,5.210418224,34369
151,-0.833751023,5.210418224,34370
151,-0.833751023,5.210140228,34371
151,-0.836804986,5.210140228,34372
151,-0.836804986,5.209862232,34373
151,-0.840138972,5.209862232,34374
151,-0.840138972,5.209584236,34375
151,-0.842082977,5.209584236,34376
151,-0.842082977,5.20930481,34377
151,-0.84680599,5.20930481,34378
151,-0.84680599,5.209026814,34379
151,-0.848471999,5.209026814,34380
151,-0.848471999,5.20930481,34381
151,-0.849583983,5.20930481,34382
151,-0.849583983,5.209026814,34383
151,-0.849861979,5.209026814,34384
151,-0.849861979,5.208748817,34385
151,-0.852083981,5.208748817,34386
151,-0.852083981,5.208470821,34387
151,-0.853471994,5.208470821,34388
151,-0.853471994,5.208748817,34389
151,-0.854582012,5.208748817,34390
151,-0.854583979,5.208470821,34391
151,-0.858195007,5.208470821,34392
151,-0.858195007,5.208748817,34393
151,-0.858473003,5.208748817,34394
151,-0.858473003,5.210418224,34395
151,-0.859304011,5.210418224,34396
151,-0.859304011,5.210692883,34397
151,-0.859861016,5.210692883,34398
151,-0.859861016,5.211527824,34399
151,-0.85958302,5.211527824,34400
151,-0.85958302,5.212083817,34401
151,-0.860417008,5.212083817,34402
151,-0.860417008,5.212361813,34403
151,-0.860973001,5.212361813,34404
151,-0.860973001,5.212639809,34405
151,-0.861527026,5.212639809,34406
151,-0.861527026,5.212917805,34407
151,-0.861805022,5.212917805,34408
151,-0.861805022,5.213193893,34409
151,-0.862361014,5.213193893,34410
151,-0.862361014,5.21347189,34411
151,-0.863195002,5.21347189,34412
151,-0.863195002,5.212917805,34413
151,-0.862917006,5.212917805,34414
151,-0.862917006,5.212639809,34415
151,-0.862083018,5.212639809,34416
151,-0.862083018,5.212361813,34417
151,-0.861805022,5.212361813,34418
151,-0.861805022,5.212083817,34419
151,-0.861527026,5.212083817,34420
151,-0.861527026,5.211527824,34421
151,-0.860973001,5.211527824,34422
151,-0.860973001,5.211249828,34423
151,-0.860695004,5.211249828,34424
151,-0.860695004,5.210970879,34425
151,-0.860417008,5.210970879,34426
151,-0.860417008,5.210418224,34427
151,-0.860139012,5.210418224,34428
151,-0.860139012,5.210140228,34429
